Date,Solar KwH,Wind KwH,Total,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Wind Velocity (10m),Atmospheric Horizontal Radiation,Atmospheric Ground Radiation,Month,Day,Hour,Season
2016-01-01 00:00:00,-1.0,2082.0,2081.0,279.84,92.48,982.65,5.7,155.61,0.45,0.0,0.0,2.86,0.0,0.0,1.0,4.0,0.0,1.0
2016-01-01 01:00:00,-1.0,1690.0,1689.0,282.79,83.61,1005.81,2.13,89.96,0.01,0.0,0.0,2.68,0.0,0.0,1.0,4.0,1.0,1.0
2016-01-01 02:00:00,-1.0,1414.0,1413.0,278.2,96.71,994.89,2.31,170.6,0.01,0.0,0.0,2.51,0.0,0.0,1.0,4.0,2.0,1.0
2016-01-01 03:00:00,-1.0,1200.0,1199.0,278.11,96.42,994.89,2.29,171.33,0.01,0.0,0.0,2.45,0.0,0.0,1.0,4.0,3.0,1.0
2016-01-01 04:00:00,-1.0,1000.0,999.0,278.08,95.59,994.74,2.34,168.74,0.01,0.0,0.0,2.35,0.0,0.0,1.0,4.0,4.0,1.0
2016-01-01 05:00:00,-1.0,871.0,870.0,278.05,94.74,994.53,2.33,132.03,0.02,0.0,0.0,2.53,0.0,0.0,1.0,4.0,5.0,1.0
2016-01-01 06:00:00,-1.0,954.0,953.0,277.95,94.07,994.26,2.4,124.47,0.03,0.0,0.0,3.01,0.0,0.0,1.0,4.0,6.0,1.0
2016-01-01 07:00:00,0.0,1190.0,1190.0,277.81,93.72,993.97,2.74,115.45,0.04,0.0,0.0,3.39,0.21,4.19,1.0,4.0,7.0,1.0
2016-01-01 08:00:00,164.0,1546.0,1710.0,277.68,93.67,993.66,3.06,117.27,0.05,0.0,0.0,3.77,1.83,35.25,1.0,4.0,8.0,1.0
2016-01-01 09:00:00,634.0,1998.0,2632.0,278.33,91.42,993.47,3.38,118.98,0.03,0.0,0.0,4.18,5.52,79.19,1.0,4.0,9.0,1.0
2016-01-01 10:00:00,1206.0,2318.0,3524.0,279.23,88.1,993.2,3.76,121.82,0.01,0.0,0.0,4.61,12.63,121.47,1.0,4.0,10.0,1.0
2016-01-01 11:00:00,1392.0,2786.0,4178.0,280.25,84.12,992.66,4.14,130.51,0.01,0.0,0.0,5.02,20.9,147.31,1.0,4.0,11.0,1.0
2016-01-01 12:00:00,1556.0,3038.0,4594.0,281.27,80.09,991.64,4.48,134.78,0.0,0.0,0.0,5.35,22.25,146.3,1.0,4.0,12.0,1.0
2016-01-01 13:00:00,1387.0,3447.0,4834.0,282.05,77.11,990.47,4.78,135.12,0.0,0.0,0.0,5.58,15.76,120.67,1.0,4.0,13.0,1.0
2016-01-01 14:00:00,898.0,4016.0,4914.0,282.45,76.01,989.41,4.95,133.95,0.0,0.0,0.0,5.45,6.52,74.14,1.0,4.0,14.0,1.0
2016-01-01 15:00:00,364.0,4377.0,4741.0,282.14,79.1,988.51,4.81,130.52,0.01,0.0,0.0,5.38,1.15,22.31,1.0,4.0,15.0,1.0
2016-01-01 16:00:00,22.0,4860.0,4882.0,281.06,84.17,987.76,4.78,127.11,0.01,0.0,0.0,5.83,0.02,0.5,1.0,4.0,16.0,1.0
2016-01-01 17:00:00,-1.0,5660.0,5659.0,280.16,88.03,987.2,5.12,127.15,0.02,0.0,0.0,6.25,0.0,0.0,1.0,4.0,17.0,1.0
2016-01-01 18:00:00,-1.0,5988.0,5987.0,279.85,89.8,986.67,5.45,130.13,0.03,0.0,0.0,6.55,0.0,0.0,1.0,4.0,18.0,1.0
2016-01-01 19:00:00,-1.0,6164.0,6163.0,279.7,90.79,986.13,5.66,134.66,0.09,0.0,0.0,6.68,0.0,0.0,1.0,4.0,19.0,1.0
2016-01-01 20:00:00,-1.0,6350.0,6349.0,279.71,91.15,985.48,5.81,138.74,0.17,0.0,0.0,6.79,0.0,0.0,1.0,4.0,20.0,1.0
2016-01-01 21:00:00,-1.0,6163.0,6162.0,279.75,91.61,984.66,5.89,142.03,0.32,0.0,0.0,6.83,0.0,0.0,1.0,4.0,21.0,1.0
2016-01-01 22:00:00,-1.0,6028.0,6027.0,279.74,92.47,983.93,5.83,146.73,0.32,0.0,0.0,6.74,0.0,0.0,1.0,4.0,22.0,1.0
2016-01-01 23:00:00,-1.0,5818.0,5817.0,279.77,92.76,983.3,5.76,151.1,0.23,0.0,0.0,6.74,0.0,0.0,1.0,4.0,23.0,1.0
2016-01-02 00:00:00,-1.0,5439.0,5438.0,278.22,90.96,983.29,4.84,248.52,0.04,0.0,0.0,6.67,0.0,0.0,1.0,5.0,0.0,1.0
2016-01-02 01:00:00,-1.0,5250.0,5249.0,279.92,91.98,982.08,5.66,161.58,0.89,0.0,0.0,6.58,0.0,0.0,1.0,5.0,1.0,1.0
2016-01-02 02:00:00,-1.0,5253.0,5252.0,279.9,92.1,981.77,5.64,171.99,0.83,0.0,0.0,6.38,0.0,0.0,1.0,5.0,2.0,1.0
2016-01-02 03:00:00,-1.0,5214.0,5213.0,279.94,91.96,981.56,5.49,178.44,0.52,0.0,0.0,6.3,0.0,0.0,1.0,5.0,3.0,1.0
2016-01-02 04:00:00,-1.0,5234.0,5233.0,280.06,91.61,981.37,5.48,183.03,0.41,0.0,0.0,6.27,0.0,0.0,1.0,5.0,4.0,1.0
2016-01-02 05:00:00,-1.0,5052.0,5051.0,280.14,91.73,981.27,5.47,187.22,0.45,0.0,0.0,6.18,0.0,0.0,1.0,5.0,5.0,1.0
2016-01-02 06:00:00,-1.0,4988.0,4987.0,280.15,92.08,981.24,5.36,190.81,0.68,0.0,0.0,6.2,0.0,0.0,1.0,5.0,6.0,1.0
2016-01-02 07:00:00,-1.0,5112.0,5111.0,280.06,92.43,981.3,5.28,194.7,0.92,0.0,0.0,6.21,0.05,2.41,1.0,5.0,7.0,1.0
2016-01-02 08:00:00,58.0,5273.0,5331.0,279.88,92.44,981.38,5.39,198.85,0.8,0.01,0.0,6.44,1.69,35.03,1.0,5.0,8.0,1.0
2016-01-02 09:00:00,328.0,5640.0,5968.0,280.11,90.94,981.65,5.62,201.11,0.56,0.03,0.0,6.75,8.0,87.58,1.0,5.0,9.0,1.0
2016-01-02 10:00:00,707.0,5875.0,6582.0,280.69,88.18,981.97,5.9,204.17,0.42,0.03,0.0,7.21,23.36,137.44,1.0,5.0,10.0,1.0
2016-01-02 11:00:00,1022.0,6292.0,7314.0,281.47,84.11,982.3,6.28,207.3,0.33,0.02,0.0,7.66,31.98,157.42,1.0,5.0,11.0,1.0
2016-01-02 12:00:00,1160.0,6602.0,7762.0,282.11,79.71,982.25,6.64,213.63,0.24,0.01,0.0,7.99,26.29,150.82,1.0,5.0,12.0,1.0
2016-01-02 13:00:00,1115.0,6762.0,7877.0,282.44,76.64,982.14,6.97,219.66,0.19,0.0,0.0,7.87,13.19,116.43,1.0,5.0,13.0,1.0
2016-01-02 14:00:00,802.0,6696.0,7498.0,282.34,76.61,982.19,6.89,223.39,0.21,0.0,0.0,7.43,5.3,70.55,1.0,5.0,14.0,1.0
2016-01-02 15:00:00,366.0,6658.0,7024.0,281.86,78.78,982.41,6.38,224.37,0.22,0.0,0.0,6.88,1.16,22.67,1.0,5.0,15.0,1.0
2016-01-02 16:00:00,42.0,6642.0,6684.0,281.06,82.43,982.75,5.84,222.16,0.16,0.0,0.0,6.61,0.02,0.56,1.0,5.0,16.0,1.0
2016-01-02 17:00:00,-1.0,6595.0,6594.0,280.25,85.97,983.1,5.64,248.94,0.15,0.0,0.0,6.53,0.0,0.0,1.0,5.0,17.0,1.0
2016-01-02 18:00:00,-1.0,6587.0,6586.0,279.74,87.98,983.37,5.63,247.68,0.15,0.0,0.0,6.47,0.0,0.0,1.0,5.0,18.0,1.0
2016-01-02 19:00:00,-1.0,6634.0,6633.0,279.37,88.97,983.59,5.63,248.54,0.08,0.0,0.0,6.38,0.0,0.0,1.0,5.0,19.0,1.0
2016-01-02 20:00:00,-1.0,6471.0,6470.0,279.01,89.96,983.71,5.6,248.96,0.07,0.0,0.0,6.16,0.0,0.0,1.0,5.0,20.0,1.0
2016-01-02 21:00:00,-1.0,6262.0,6261.0,278.68,90.82,983.74,5.5,248.65,0.14,0.0,0.0,5.98,0.0,0.0,1.0,5.0,21.0,1.0
2016-01-02 22:00:00,-1.0,6048.0,6047.0,278.46,91.11,983.68,5.35,248.62,0.14,0.0,0.0,5.84,0.0,0.0,1.0,5.0,22.0,1.0
2016-01-02 23:00:00,-1.0,5740.0,5739.0,278.39,90.67,983.53,5.18,249.56,0.08,0.0,0.0,5.53,0.0,0.0,1.0,5.0,23.0,1.0
2016-01-03 00:00:00,-1.0,5286.0,5285.0,279.3,91.84,966.67,5.7,226.4,0.41,0.04,0.0,5.2,0.0,0.0,1.0,6.0,0.0,1.0
2016-01-03 01:00:00,-1.0,4866.0,4865.0,277.96,91.78,982.96,4.54,247.77,0.03,0.0,0.0,5.04,0.0,0.0,1.0,6.0,1.0,1.0
2016-01-03 02:00:00,-1.0,4336.0,4335.0,277.75,92.3,982.78,4.4,216.54,0.03,0.0,0.0,4.97,0.0,0.0,1.0,6.0,2.0,1.0
2016-01-03 03:00:00,-1.0,4011.0,4010.0,277.67,92.3,982.54,4.4,213.19,0.02,0.0,0.0,4.94,0.0,0.0,1.0,6.0,3.0,1.0
2016-01-03 04:00:00,-1.0,3790.0,3789.0,277.55,92.41,982.03,4.43,208.87,0.05,0.0,0.0,5.01,0.0,0.0,1.0,6.0,4.0,1.0
2016-01-03 05:00:00,-1.0,3635.0,3634.0,277.45,91.99,981.47,4.53,202.89,0.07,0.0,0.0,5.12,0.0,0.0,1.0,6.0,5.0,1.0
2016-01-03 06:00:00,-1.0,3985.0,3984.0,277.39,91.51,980.97,4.57,196.0,0.1,0.0,0.0,5.31,0.0,0.0,1.0,6.0,6.0,1.0
2016-01-03 07:00:00,1.0,4628.0,4629.0,277.35,91.14,980.42,4.67,189.12,0.13,0.0,0.0,5.65,0.26,4.87,1.0,6.0,7.0,1.0
2016-01-03 08:00:00,169.0,4915.0,5084.0,277.42,90.53,979.81,4.9,186.05,0.15,0.0,0.0,6.05,1.3,33.53,1.0,6.0,8.0,1.0
2016-01-03 09:00:00,514.0,5162.0,5676.0,278.17,88.59,979.18,5.25,194.32,0.21,0.0,0.0,6.39,2.41,64.67,1.0,6.0,9.0,1.0
2016-01-03 10:00:00,694.0,5494.0,6188.0,279.01,85.88,978.35,5.68,192.32,0.27,0.0,0.0,6.64,3.7,91.11,1.0,6.0,10.0,1.0
2016-01-03 11:00:00,827.0,5770.0,6597.0,279.71,83.68,977.3,5.93,190.87,0.38,0.0,0.0,6.95,4.26,103.12,1.0,6.0,11.0,1.0
2016-01-03 12:00:00,734.0,6074.0,6808.0,280.33,81.59,975.75,6.04,190.82,0.47,0.0,0.0,7.16,3.42,94.78,1.0,6.0,12.0,1.0
2016-01-03 13:00:00,546.0,6242.0,6788.0,280.66,80.32,974.12,6.1,190.61,0.5,0.0,0.0,7.31,1.76,66.72,1.0,6.0,13.0,1.0
2016-01-03 14:00:00,339.0,6294.0,6633.0,280.61,80.91,972.67,6.17,190.49,0.59,0.0,0.0,7.27,0.68,35.7,1.0,6.0,14.0,1.0
2016-01-03 15:00:00,140.0,6267.0,6407.0,280.16,83.91,971.38,6.04,188.83,0.91,0.0,0.0,7.44,0.16,10.64,1.0,6.0,15.0,1.0
2016-01-03 16:00:00,8.0,6343.0,6351.0,279.52,86.37,970.23,6.25,184.83,1.08,0.0,0.0,7.54,0.0,0.2,1.0,6.0,16.0,1.0
2016-01-03 17:00:00,-2.0,6375.0,6373.0,279.25,87.27,969.29,6.36,184.89,1.15,0.0,0.0,7.34,0.0,0.0,1.0,6.0,17.0,1.0
2016-01-03 18:00:00,-1.0,6552.0,6551.0,279.28,87.66,968.7,6.24,190.59,1.1,0.0,0.0,7.08,0.0,0.0,1.0,6.0,18.0,1.0
2016-01-03 19:00:00,-1.0,6198.0,6197.0,279.34,88.25,968.22,5.96,197.57,0.97,0.0,0.0,6.83,0.0,0.0,1.0,6.0,19.0,1.0
2016-01-03 20:00:00,-1.0,5756.0,5755.0,279.37,89.0,967.78,5.74,205.26,0.83,0.01,0.0,6.57,0.0,0.0,1.0,6.0,20.0,1.0
2016-01-03 21:00:00,-1.0,5331.0,5330.0,279.37,89.68,967.32,5.76,211.53,0.69,0.04,0.0,6.34,0.0,0.0,1.0,6.0,21.0,1.0
2016-01-03 22:00:00,-1.0,4976.0,4975.0,279.36,90.44,967.0,5.81,216.74,0.57,0.06,0.0,6.06,0.0,0.0,1.0,6.0,22.0,1.0
2016-01-03 23:00:00,-1.0,4951.0,4950.0,279.34,91.3,966.79,5.74,220.89,0.49,0.05,0.0,6.04,0.0,0.0,1.0,6.0,23.0,1.0
2016-01-04 00:00:00,-1.0,4990.0,4989.0,278.61,92.21,965.52,4.95,227.12,0.19,0.0,0.0,6.12,0.0,0.0,1.0,0.0,0.0,1.0
2016-01-04 01:00:00,-1.0,5090.0,5089.0,279.24,91.88,966.5,5.78,233.65,0.31,0.04,0.0,6.24,0.0,0.0,1.0,0.0,1.0,1.0
2016-01-04 02:00:00,-1.0,5132.0,5131.0,279.13,91.84,966.47,5.9,238.32,0.28,0.02,0.0,6.33,0.0,0.0,1.0,0.0,2.0,1.0
2016-01-04 03:00:00,-1.0,5284.0,5283.0,279.03,91.53,966.37,5.93,241.24,0.29,0.02,0.0,6.26,0.0,0.0,1.0,0.0,3.0,1.0
2016-01-04 04:00:00,-1.0,5376.0,5375.0,278.9,91.45,966.2,5.88,241.52,0.22,0.02,0.0,6.23,0.0,0.0,1.0,0.0,4.0,1.0
2016-01-04 05:00:00,-1.0,5393.0,5392.0,278.88,91.31,966.09,5.86,239.91,0.08,0.0,0.0,6.21,0.0,0.0,1.0,0.0,5.0,1.0
2016-01-04 06:00:00,-1.0,5358.0,5357.0,278.83,91.49,966.14,5.83,239.02,0.13,0.0,0.0,6.18,0.0,0.0,1.0,0.0,6.0,1.0
2016-01-04 07:00:00,-1.0,5424.0,5423.0,278.74,91.66,966.25,5.81,238.56,0.21,0.0,0.0,6.14,0.08,3.17,1.0,0.0,7.0,1.0
2016-01-04 08:00:00,88.0,5478.0,5566.0,278.71,91.79,966.36,5.77,238.68,0.2,0.0,0.0,6.31,1.48,33.92,1.0,0.0,8.0,1.0
