Date,Hour,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,Electricty Total (KwH),Fans (KwH),Cooling (KwH),Heating (KwH),Lights (KwH),Interior Equipment (KwH),Holiday,Day,Month,Weekend,Season,Working_Hour
2004-01-01,1.0,37.24,88.64,1010.72,5.4,222.59,0.0,0.0,0.0,0.0,107.06,2.75,2.39,68.35,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,2.0,37.02,89.75,1010.06,5.71,226.64,0.0,0.0,0.0,0.0,87.08,2.23,2.04,49.24,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,3.0,36.77,90.72,1009.43,5.66,237.02,0.0,0.0,0.0,0.0,101.18,2.78,2.53,62.28,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,4.0,36.97,89.88,1009.11,6.13,252.98,0.0,0.0,0.0,0.0,84.83,2.23,2.08,46.95,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,5.0,36.82,90.32,1009.29,5.83,266.92,0.0,0.0,0.0,0.0,99.31,2.78,2.57,60.38,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,6.0,36.1,91.57,1009.87,5.25,278.02,0.0,0.0,0.0,0.0,84.71,2.23,2.09,46.82,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,7.0,35.22,93.0,1010.96,4.71,285.07,0.0,0.0,0.0,0.0,100.3,2.78,2.55,61.4,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,8.0,34.39,93.97,1011.76,4.44,288.25,0.0,0.0,0.0,0.0,73.41,2.23,2.07,45.41,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,9.0,33.4,94.87,1012.27,4.29,290.66,0.0,0.0,0.0,0.0,68.75,2.78,2.61,44.58,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,10.0,32.47,94.86,1013.1,4.13,293.52,0.0,0.0,0.0,0.0,49.66,2.23,2.26,26.41,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,11.0,31.87,92.44,1014.37,4.12,297.71,0.0,0.0,0.0,0.0,53.67,2.43,2.28,30.18,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,12.0,31.14,90.98,1015.45,3.96,299.51,0.0,0.0,0.0,0.0,43.4,1.53,1.05,22.05,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,13.0,31.26,88.82,1016.73,3.93,298.59,0.0,0.0,0.0,20.67,49.06,1.91,1.31,27.07,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,14.0,34.39,81.61,1018.14,4.16,294.65,0.0,0.0,0.0,147.99,49.81,2.02,2.02,27.0,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,15.0,37.35,72.98,1018.9,4.37,296.98,0.0,0.0,0.0,284.03,58.11,2.71,2.85,33.78,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,16.0,39.33,65.96,1018.71,4.68,305.84,0.0,0.0,0.0,388.15,52.16,2.23,2.42,28.74,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,17.0,40.6,63.2,1017.89,4.64,308.65,0.0,0.0,0.0,447.52,76.02,2.78,2.92,44.14,2.68,16.08,0.0,3.0,1.0,0,1,1
2004-01-01,18.0,41.79,61.44,1017.36,4.55,310.08,0.0,0.0,0.0,446.93,78.03,2.23,2.28,39.95,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,19.0,42.48,61.02,1017.14,4.25,310.65,0.0,0.0,0.0,363.65,95.34,2.78,2.72,56.26,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,20.0,42.24,63.79,1017.01,3.6,310.88,0.0,0.0,0.0,208.65,83.69,2.23,2.16,45.73,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,21.0,40.66,74.34,1017.14,2.64,309.54,0.0,0.0,0.0,83.3,102.71,2.78,2.6,63.75,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,22.0,37.45,80.13,1017.5,2.72,304.7,0.0,0.0,0.0,8.2,89.87,2.23,2.06,52.01,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,23.0,36.37,80.05,1017.94,2.71,301.51,0.0,0.0,0.0,0.0,109.9,2.78,2.47,71.08,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-01,24.0,35.92,79.42,1018.21,2.55,301.74,0.0,0.0,0.0,0.0,94.57,2.23,1.97,56.79,2.68,16.08,0.0,3.0,1.0,0,1,0
2004-01-02,1.0,35.65,78.66,1018.58,2.43,303.79,0.0,0.0,0.0,0.0,118.03,2.78,2.38,73.93,2.68,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,2.0,35.8,76.95,1018.92,2.29,309.28,0.0,0.0,0.0,0.0,100.82,2.23,1.93,57.74,2.68,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,3.0,36.18,73.06,1018.66,1.88,319.59,0.0,0.0,0.0,0.0,120.09,2.78,2.32,76.05,2.68,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,4.0,36.68,70.29,1018.06,1.25,333.45,0.0,0.0,0.0,0.0,101.99,2.23,1.88,58.94,2.68,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,5.0,36.64,69.76,1017.56,0.66,1.08,0.0,0.0,0.0,0.0,122.0,2.78,2.27,78.01,2.68,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,6.0,36.16,71.12,1017.11,0.73,93.82,0.0,0.0,0.0,0.0,106.09,2.23,1.88,60.37,5.36,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,7.0,34.21,78.58,1016.63,1.78,122.59,0.0,0.0,0.0,0.0,312.93,3.34,4.74,263.23,5.36,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,8.0,33.39,84.51,1016.17,2.33,138.86,0.0,0.0,0.0,0.0,281.42,3.34,0.0,224.37,16.08,32.68,0.0,4.0,1.0,0,1,1
2004-01-02,9.0,35.01,84.14,1015.74,2.32,156.12,0.01,0.0,0.0,0.0,272.28,3.34,0.0,150.28,48.25,70.4,0.0,4.0,1.0,0,1,1
2004-01-02,10.0,35.82,85.34,1015.0,2.49,166.03,0.34,0.03,0.0,0.0,238.63,3.34,0.0,124.98,48.25,62.05,0.0,4.0,1.0,0,1,1
2004-01-02,11.0,35.92,89.05,1014.66,2.85,171.15,0.8,0.08,0.0,0.0,216.03,3.34,0.0,104.31,48.25,60.13,0.0,4.0,1.0,0,1,1
2004-01-02,12.0,35.96,93.16,1014.32,3.14,174.84,0.74,0.34,0.0,0.0,201.88,3.34,0.0,88.23,48.25,62.05,0.0,4.0,1.0,0,1,1
2004-01-02,13.0,36.41,94.44,1013.71,3.16,168.16,0.83,0.21,0.0,2.2,201.58,3.34,0.0,88.47,48.25,61.51,0.0,4.0,1.0,0,1,1
2004-01-02,14.0,37.49,93.72,1013.69,3.0,160.81,0.22,0.01,0.0,27.26,192.29,3.34,0.0,77.03,48.25,63.66,0.0,4.0,1.0,0,1,1
2004-01-02,15.0,40.01,91.14,1013.21,3.03,155.29,0.01,0.0,0.0,85.83,190.01,3.34,0.0,78.29,48.25,60.13,0.0,4.0,1.0,0,1,1
2004-01-02,16.0,42.1,89.35,1011.95,3.46,164.71,0.0,0.0,0.0,143.44,186.55,3.34,0.0,74.83,48.25,60.13,0.0,4.0,1.0,0,1,1
2004-01-02,17.0,44.24,86.94,1010.92,3.7,189.45,0.0,0.0,0.0,228.0,197.14,3.34,0.0,75.12,48.25,63.02,0.0,4.0,1.0,0,1,1
2004-01-02,18.0,45.72,84.15,1009.98,3.82,213.55,0.0,0.0,0.0,295.15,201.49,3.34,0.0,83.02,37.53,62.79,0.0,4.0,1.0,0,1,0
2004-01-02,19.0,46.33,82.94,1009.46,3.43,235.7,0.0,0.0,0.0,263.48,176.08,3.34,0.0,95.11,26.8,36.02,0.0,4.0,1.0,0,1,0
2004-01-02,20.0,46.2,84.16,1009.46,2.7,255.18,0.0,0.0,0.0,188.78,176.6,3.34,0.0,98.19,26.8,33.45,0.0,4.0,1.0,0,1,0
2004-01-02,21.0,44.85,89.34,1009.6,1.75,273.26,0.0,0.0,0.0,82.62,170.82,3.34,0.0,108.49,16.08,28.09,0.0,4.0,1.0,0,1,0
2004-01-02,22.0,42.33,91.34,1010.07,1.79,294.29,0.0,0.0,0.0,9.02,170.91,3.34,0.0,109.88,16.08,26.8,0.0,4.0,1.0,0,1,0
2004-01-02,23.0,42.15,90.13,1010.53,1.52,306.05,0.0,0.0,0.0,0.0,41.62,0.0,0.0,0.0,5.36,21.44,0.0,4.0,1.0,0,1,0
2004-01-02,24.0,42.48,88.34,1010.78,0.99,304.3,0.0,0.0,0.0,0.0,38.94,0.0,0.0,0.0,2.68,21.44,0.0,4.0,1.0,0,1,0
2004-01-03,1.0,42.15,88.82,1011.27,0.98,294.16,0.0,0.0,0.0,0.0,47.74,0.98,0.12,7.71,2.68,21.44,0.0,5.0,1.0,1,1,0
